,CNTSCHID,Region,STRATUM,LANGTEST,PRIVATESCH,SCHLTYPE,STRATIO,SCHSIZE,RATCMP1,RATCMP2,TOTAT,PROATCE,PROAT5AB,PROAT5AM,PROAT6,CLSIZE,CREACTIV,EDUSHORT,STAFFSHORT,STUBEHA,TEACHBEHA,SCMCEG,W_SCHGRNRABWT,W_FSTUWT_SCH_SUM,SENWT
43,72400044,72409,ESP0918,160.0,private,2.0,13.3778,602.0,1.0,1.0,45.0,1.0,0.4222,0.1111,0.0222,53.0,1.0,0.4292,-0.7828,0.7395,-0.4652,0.9042,25.66293,1426.82403,18.63745
44,72400045,72414,ESP1431,156.0,private,2.0,13.9375,669.0,1.1321,1.0,48.0,1.0,0.0,0.0,0.0,48.0,2.0,-0.1098,0.028,-1.6103,1.4056,-0.3006,6.31412,279.33493,4.58557
45,72400046,72407,ESP9013,156.0,public,3.0,8.5275,388.0,0.4583,1.0,45.5,1.0,1.0,0.978,0.0,23.0,1.0,0.4997,-0.2968,-0.9664,-0.5111,0.1571,7.14039,399.27262,5.18564
46,72400047,72417,ESP1738,156.0,public,3.0,9.3871,582.0,1.7241,1.0,62.0,1.0,1.0,,,53.0,3.0,1.0245,0.43,-0.3856,-0.9173,0.9042,13.8623,1049.40562,10.06736
47,72400048,72406,ESP0612,156.0,private,2.0,13.725,549.0,0.7895,1.0,40.0,,,,0.05,18.0,2.0,-0.6884,-1.4551,-0.0468,-0.9173,0.9042,1.76429,50.94375,1.2813
48,72400049,72414,ESP1431,156.0,private,2.0,13.5385,352.0,1.0,1.0,26.0,,,,,23.0,2.0,-0.0703,0.4613,-0.0956,-1.2356,0.9042,7.51681,209.42189,5.45901
49,72400050,72405,ESP0509,156.0,public,3.0,16.7,1169.0,0.4839,0.6667,70.0,1.0,1.0,0.0,0.0,28.0,0.0,0.4292,1.5683,-0.0956,0.5642,0.287,3.35345,398.49908,2.43541
50,72400051,72402,ESP0203,156.0,public,3.0,8.2326,354.0,1.0,1.0,43.0,,0.9302,0.9302,0.0,23.0,1.0,-1.4212,0.0131,1.4126,0.2266,0.9042,4.25464,256.04332,3.08989
51,72400052,72413,ESP9025,156.0,public,3.0,13.0539,1090.0,0.3315,1.0,83.5,,,,0.0479,28.0,3.0,0.1,0.8371,0.1795,0.2266,0.9042,2.4284,465.02911,1.7636
52,72400053,72413,ESP9028,156.0,private,2.0,11.6129,900.0,0.4545,1.0,77.5,0.0645,0.7742,0.7097,0.0645,18.0,1.0,-0.6884,-0.1953,-2.0719,-0.96,-1.4469,13.89808,336.65672,10.09335
53,72400054,72411,ESP1122,156.0,private,1.0,11.4202,1359.0,0.8257,1.0,119.0,,,0.084,0.0168,23.0,3.0,-1.4212,-1.4551,-1.5397,0.9355,0.9042,3.50189,371.94604,2.54321
54,72400055,72401,ESP9002,156.0,private,3.0,19.1011,850.0,0.5488,1.0,44.5,1.0,1.0,0.618,0.0,53.0,2.0,-1.4212,0.5116,-0.0384,-1.419,-0.1661,24.80306,1841.61368,18.01298
55,72400056,72406,ESP0611,156.0,public,3.0,7.5949,300.0,0.6977,1.0,39.5,1.0,1.0,0.2785,0.0759,18.0,1.0,0.2681,0.8371,-0.2686,0.0104,-1.0542,1.98604,64.91177,1.44234
56,72400057,72405,ESP0509,156.0,public,3.0,12.0,744.0,0.5357,1.0,62.0,1.0,,,,28.0,3.0,2.9595,3.0959,1.0465,1.4533,-1.0542,3.70476,412.55511,2.69055
57,72400058,72409,ESP0918,160.0,private,2.0,,,,1.0,11.0,1.0,1.0,1.0,0.0,28.0,0.0,2.1432,0.5116,0.0645,-0.3479,0.9042,29.18529,1664.10095,21.19553
58,72400059,72416,ESP9036,156.0,private,2.0,14.0423,1327.0,0.4688,1.0,94.5,0.9735,0.9735,0.4233,0.0212,33.0,1.0,-1.4212,-0.5869,-1.4545,-0.5079,0.9042,2.17446,169.53292,1.57918
59,72400060,72407,ESP9013,156.0,public,3.0,10.6071,594.0,0.4639,1.0,56.0,1.0,1.0,,0.1071,23.0,0.0,0.5886,0.8371,-0.6823,-0.4985,0.9042,3.89476,422.44669,2.82853
60,72400061,72411,ESP1122,156.0,private,2.0,,,,1.0,24.5,1.0,1.0,0.0,0.0816,13.0,1.0,0.1423,0.355,-2.0719,0.2785,-1.0542,17.67619,138.35636,12.83716
61,72400062,72415,ESP1532,156.0,public,3.0,10.219,700.0,0.3243,1.0,68.5,1.0,1.0,,,23.0,1.0,1.4783,0.43,-0.0384,0.6101,0.9042,1.25118,142.47492,0.90866
62,72400063,72414,ESP1430,156.0,public,3.0,12.0571,633.0,0.3111,1.0,52.5,0.9524,0.0952,,0.0381,28.0,1.0,1.0679,1.2579,1.2033,0.6101,-0.1661,3.20084,286.31207,2.32458
63,72400064,72412,ESP1224,156.0,private,2.0,15.7477,874.0,0.3797,1.0,55.5,1.0,0.5315,0.3784,0.0,53.0,1.0,-1.4212,-0.5869,-1.5397,-1.2356,0.9042,1.0,82.41844,0.72624
64,72400065,72401,ESP0101,156.0,public,3.0,10.2,663.0,0.4483,1.0,65.0,1.0,0.0,0.0,0.0,28.0,2.0,1.6996,0.8567,0.7577,0.9028,0.9042,24.0939,1628.15663,17.49795
65,72400066,72418,ESP1841,156.0,private,2.0,,739.0,1.1481,0.5161,,,,,,28.0,1.0,1.9733,0.6924,0.1795,-0.1274,0.9042,1.0,52.4024,0.72624
66,72400067,72405,ESP0509,156.0,public,3.0,9.9012,401.0,1.4394,1.0,40.5,0.0,0.0,0.0,0.0,23.0,1.0,0.7973,-0.1776,1.5622,-0.9173,0.9042,5.98462,378.54984,4.34627
67,72400068,72412,ESP1224,156.0,private,2.0,13.2759,385.0,1.2632,1.0,29.0,1.0,1.0,0.0,0.0,18.0,1.0,-0.6483,-0.1776,0.1795,0.0071,0.9042,1.0,21.37681,0.72624
68,72400069,72414,ESP1431,156.0,private,3.0,16.5106,388.0,0.8333,1.0,23.5,1.0,1.0,0.0426,0.0,18.0,1.0,0.1423,0.6736,3.441,1.6691,0.9042,15.03361,198.1012,10.91801
69,72400070,72407,ESP9014,156.0,private,2.0,15.6053,1186.0,1.3158,1.0,76.0,0.3684,0.7368,,0.0658,48.0,3.0,-0.2692,0.8371,-1.8118,-2.0409,0.9042,6.64915,361.1988,4.82888
70,72400071,72414,ESP1431,156.0,private,2.0,14.1667,340.0,0.75,,24.0,1.0,1.0,0.125,0.0,18.0,0.0,-1.4212,-0.0097,0.2967,0.6479,0.3009,7.51681,165.30291,5.45901
71,72400072,72409,ESP9018,160.0,private,2.0,17.0843,709.0,0.8889,1.0,41.5,1.0,1.0,0.3253,0.0,18.0,0.0,-1.4212,-1.4551,-3.3611,-1.3169,0.9042,27.56389,1446.19622,20.018
72,72400073,72401,ESP9001,156.0,public,3.0,14.0267,1052.0,0.4348,1.0,75.0,0.88,0.0133,,0.1067,28.0,0.0,-1.4212,-0.5869,-0.5654,-0.3913,0.9042,11.7977,1621.91029,8.56796
73,72400074,72417,ESP9039,156.0,private,,,,,1.0,57.0,1.0,0.8947,0.1053,0.0175,53.0,0.0,-0.6483,-0.1776,-0.4684,0.6479,-0.061,14.69549,882.76427,10.67246
74,72400075,72416,ESP9037,451.0,private,2.0,19.2131,1172.0,1.0,1.0,61.0,1.0,1.0,1.0,0.0164,23.0,1.0,0.4292,0.2633,0.3234,0.0519,0.9042,2.18056,153.73776,1.58361
75,72400076,72417,ESP9039,156.0,private,1.0,9.3077,242.0,1.0,1.0,26.0,1.0,0.4038,0.5962,0.0,23.0,1.0,-0.2723,0.4427,-1.1906,-0.5079,0.9042,21.34345,503.03134,15.50047
76,72400077,72401,ESP9001,156.0,public,3.0,9.2346,748.0,0.875,1.0,81.0,,,,,53.0,1.0,2.1432,0.8371,-0.0956,0.2266,0.9042,18.00702,1770.50832,13.07742
77,72400078,72416,ESP9037,451.0,private,2.0,,,,1.0,,,,,,43.0,0.0,-0.4907,0.4487,-1.5397,-0.5173,0.287,3.17922,118.89263,2.30888
78,72400079,72412,ESP1223,156.0,public,3.0,10.3529,440.0,0.7143,1.0,42.5,,,,0.0235,28.0,1.0,1.2478,-1.4551,-0.4097,-1.419,0.9042,1.0,84.31868,0.72624
79,72400080,72410,ESP1019,156.0,public,3.0,8.2069,357.0,0.5,1.0,43.5,1.0,1.0,0.0,0.0,18.0,0.0,0.6299,0.21,0.7974,-1.2356,-0.061,3.95752,209.81465,2.87411
80,72400081,72416,ESP9037,156.0,private,2.0,11.28,564.0,1.0,1.0,50.0,1.0,1.0,0.1,0.02,18.0,1.0,-0.1018,-0.1776,0.2773,0.3593,-0.4859,6.35844,99.60211,4.61775
81,72400082,72414,ESP1431,156.0,private,2.0,,1663.0,0.3475,1.0,,,,,,28.0,3.0,0.4997,0.028,-0.6199,-2.0409,0.9042,2.74527,317.06895,1.99372
82,72400083,72403,ESP0306,156.0,private,2.0,16.5368,1571.0,1.0,1.0,95.0,1.0,0.9263,0.1053,0.0211,53.0,2.0,-1.4212,0.8371,-3.3785,-1.2401,0.9042,1.16181,139.92239,0.84375
83,72400084,72416,ESP9036,156.0,private,2.0,17.3418,685.0,0.8095,1.0,39.5,1.0,0.6076,0.3797,0.0127,23.0,1.0,1.2478,-0.1776,-0.9148,-0.5079,0.9042,3.28221,168.23549,2.38367
84,72400085,72413,ESP9028,156.0,private,2.0,20.6468,2075.0,1.4906,1.0,100.5,1.0,0.6716,0.3284,0.0,33.0,3.0,-1.4212,0.122,-1.6103,-0.7767,0.9042,6.69635,746.08601,4.86316
85,72400086,72404,ESP0408,160.0,private,2.0,14.1875,681.0,1.1556,1.0,48.0,,,,,43.0,2.0,-0.2376,0.4487,-1.4381,-2.0904,0.9042,4.89693,207.81629,3.55635
86,72400087,72413,ESP9029,156.0,private,1.0,13.8261,477.0,0.2041,1.0,34.5,0.913,0.7536,0.1304,0.058,23.0,3.0,0.4292,0.028,-0.7293,0.5642,0.81,4.2054,198.9222,3.05413
87,72400088,72405,ESP0509,156.0,public,3.0,11.0,660.0,0.3191,1.0,60.0,1.0,1.0,0.9167,0.0,33.0,1.0,1.2478,1.3405,1.2033,1.745,0.9042,4.7439,334.74881,3.44521
